Top pages,Clicks,Impressions,CTR,Position
https://hsbteleet.com/B-Pharmacy-leet,27,301,8.97%,5.75
https://hsbteleet.com/haryana-leet-counselling,26,2111,1.23%,8.12
https://hsbteleet.com/html/Electrical-Engineering-4.html,26,192,13.54%,5.55
https://hsbteleet.com/computer-pyq-4-semester.html,26,129,20.16%,5.7
https://www.hsbteleet.com/haryanaleet,25,604,4.14%,6.73
https://hsbteleet.com/leet-sample-paper.html,25,393,6.36%,5.16
https://hsbteleet.com/ece,25,321,7.79%,6.35
https://hsbteleet.com/html/Medical-Laboratory-Technology-4.html,25,114,21.93%,2.91
https://hsbteleet.com/civil-4.html,25,102,24.51%,4.15
https://hsbteleet.com/html/mech.html,23,297,7.74%,6.92
https://hsbteleet.com/btech-leet-sample-paper.html,23,232,9.91%,5.13
https://hsbteleet.com/Electrical-Engineering-6,23,132,17.42%,4.64
https://www.hsbteleet.com/leet-preparation-guide,21,887,2.37%,6.34
https://hsbteleet.com/leet-preparation-guide,21,446,4.71%,5.3
https://www.hsbteleet.com/hsbte-pyq,21,246,8.54%,5.04
https://hsbteleet.com/Textile-Technology.html,21,147,14.29%,5.35
https://hsbteleet.com/Medical-Laboratory-Technology-4,21,132,15.91%,3.79
https://hsbteleet.com/Electrical-Engineering-2.html,21,117,17.95%,4.38
https://hsbteleet.com/computer-pyq-2-semester,20,82,24.39%,5.71
https://hsbteleet.com/html/mech-6.html,19,235,8.09%,5.97
https://www.hsbteleet.com/btech-leet-sample-paper,19,190,10%,5.48
https://hsbteleet.com/ai-ml,18,256,7.03%,5.8
https://hsbteleet.com/Electrical-Engineering,18,110,16.36%,5.46
https://hsbteleet.com/html/mech-2.html,18,84,21.43%,4.65
https://hsbteleet.com/Agriculture,17,120,14.17%,6.27
https://hsbteleet.com/html/mech-4.html,16,97,16.49%,4.32
https://hsbteleet.com/d-pharmacy-2,15,142,10.56%,8.15
https://hsbteleet.com/Instrumentation-&-Control,15,121,12.4%,6.74
https://www.hsbteleet.com/mech-2,15,108,13.89%,5.21
https://hsbteleet.com/Textile-Technology,14,162,8.64%,4.39
https://hsbteleet.com/Automobile-6,14,49,28.57%,3.73
https://hsbteleet.com/Textile-Design-6.html,14,32,43.75%,2.97
https://hsbteleet.com/leet-preparation-guide.html,13,610,2.13%,5.67
https://hsbteleet.com/civil.html,13,193,6.74%,5.61
https://www.hsbteleet.com/hsbte-pyq.html,12,140,8.57%,4.81
https://hsbteleet.com/computer-pyq-6-semester,12,72,16.67%,5.44
https://hsbteleet.com/haryana-leet-cutoff,11,364,3.02%,7.23
https://hsbteleet.com/mech-6.html,11,184,5.98%,5.65
https://hsbteleet.com/btech-leet-sample-paper,11,161,6.83%,5.48
https://www.hsbteleet.com/Automobile-4,11,105,10.48%,4.15
https://hsbteleet.com/html/btech-leet-sample-paper.html,11,84,13.1%,5.46
https://hsbteleet.com/html/d-pharmacy-2.html,11,81,13.58%,4.36
https://hsbteleet.com/Medical-Laboratory-Technology-2.html,11,77,14.29%,4.81
https://hsbteleet.com/Electrical-Engineering-3,11,58,18.97%,6.09
https://hsbteleet.com/computer-pyq-4-semester,10,214,4.67%,3.88
https://hsbteleet.com/btech-leet,10,142,7.04%,13.42
https://hsbteleet.com/computer-pyq-2-semester.html,10,97,10.31%,4.9
https://www.hsbteleet.com/computer-pyq-4-semester,10,82,12.2%,4
https://hsbteleet.com/Automobile-2,10,71,14.08%,6.28
https://hsbteleet.com/html/civil-4.html,10,59,16.95%,3.73
https://hsbteleet.com/Fashion-Design.html,9,98,9.18%,6.45
https://www.hsbteleet.com/Agriculture,9,80,11.25%,6.17
https://www.hsbteleet.com/civil,9,79,11.39%,9.58
https://hsbteleet.com/html/leet-sample-paper.html,9,53,16.98%,6.08
https://hsbteleet.com/Architectural-Assistantship-2,9,45,20%,7.89
https://www.hsbteleet.com/Adv-Diploma-2,9,40,22.5%,6.83
https://www.hsbteleet.com/d-pharmacy-2,8,117,6.84%,4.92
https://www.hsbteleet.com/computer-pyq.html,8,105,7.62%,5.45
https://hsbteleet.com/html/computer-pyq.html,8,98,8.16%,5.65
https://www.hsbteleet.com/Automobile,8,82,9.76%,7.15
https://hsbteleet.com/Plastic-2.html,8,63,12.7%,6.11
https://hsbteleet.com/Automobile-4,8,49,16.33%,3.67
https://www.hsbteleet.com/mech-2.html,8,24,33.33%,4.83
https://hsbteleet.com/haryana-leet-exam-pattern,7,290,2.41%,5.67
https://hsbteleet.com/computer-pyq,7,228,3.07%,4.9
https://hsbteleet.com/civil-6,7,59,11.86%,5.92
https://hsbteleet.com/Automation.html,7,58,12.07%,5.31
https://hsbteleet.com/html/Textile-Processing-4.html,7,53,13.21%,4.6
https://www.hsbteleet.com/btech-leet,7,50,14%,9.74
https://hsbteleet.com/ece-6,7,45,15.56%,4.73
https://www.hsbteleet.com/Automation,7,42,16.67%,4.88
https://hsbteleet.com/civil-2.html,7,38,18.42%,2
https://hsbteleet.com/Plastic-2,7,29,24.14%,8.79
https://hsbteleet.com/Instrumentation-_-Control-6,7,28,25%,5.71
https://hsbteleet.com/ece-2,7,23,30.43%,6.17
https://hsbteleet.com/Adv-Diploma-1.html,7,15,46.67%,3.4
https://hsbteleet.com/Textile-Design,6,59,10.17%,6.98
https://www.hsbteleet.com/civil-1,6,57,10.53%,7.04
https://www.hsbteleet.com/Instrumentation-&-Control,6,48,12.5%,4.35
https://hsbteleet.com/btech-leet.html,6,45,13.33%,4.87
https://hsbteleet.com/paper/QP- Dec-2024/220751.pdf,6,37,16.22%,4.46
https://www.hsbteleet.com/Electrical-Engineering.html,6,29,20.69%,4.07
https://hsbteleet.com/Architectural-Assistantship-1,6,27,22.22%,5.52
https://hsbteleet.com/html/Office-Management-2.html,6,24,25%,7.38
https://hsbteleet.com/Textile-Technology-4,6,22,27.27%,3.05
https://www.hsbteleet.com/civil-2,6,10,60%,2.7
https://hsbteleet.com/leet-overview,5,231,2.16%,6.11
https://hsbteleet.com/Automation,5,161,3.11%,7.73
https://hsbteleet.com/leet-tentative-dates,5,131,3.82%,3.69
http://hsbteleet.com/,5,32,15.62%,4.94
https://www.hsbteleet.com/mech-4,5,25,20%,5.32
https://hsbteleet.com/Electrical-Engineering-4,5,18,27.78%,9.17
https://hsbteleet.com/notices,5,13,38.46%,2.77
https://hsbteleet.com/html/Adv-Diploma-2,5,13,38.46%,3.54
https://hsbteleet.com/haryana-leet-colleges,4,383,1.04%,8.9
https://hsbteleet.com/Library-1,4,100,4%,9.39
https://hsbteleet.com/Library,4,86,4.65%,5.31
https://hsbteleet.com/html/Architectural-Assistantship.html,4,83,4.82%,4.05
https://hsbteleet.com/Adv-Diploma-2.html,4,67,5.97%,9.46
https://hsbteleet.com/civil-1.html,4,57,7.02%,5.98
https://hsbteleet.com/html/Textile-Technology.html,4,53,7.55%,6.3
https://www.hsbteleet.com/Electrical-Engineering-3,4,47,8.51%,6.19
https://hsbteleet.com/html/Adv-Diploma-2.html,4,38,10.53%,15.13
https://hsbteleet.com/html/Bpharma-sample-paper-1.html,4,36,11.11%,8.28
https://hsbteleet.com/ece-4,4,34,11.76%,5.74
https://hsbteleet.com/ece-6.html,4,31,12.9%,3.19
https://hsbteleet.com/dbm-2,4,31,12.9%,6.68
https://hsbteleet.com/mech-3,4,23,17.39%,6.13
https://www.hsbteleet.com/Textile-Technology,4,18,22.22%,4.28
https://www.hsbteleet.com/computer-pyq-2-semester.html,4,17,23.53%,4.59
https://www.hsbteleet.com/Fashion-Technology-2,4,15,26.67%,12.27
"https://hsbteleet.com/syllabus/23 Final 01-08-2024 Diploma in Food 
Technology.pdf",3,184,1.63%,6.79
https://www.hsbteleet.com/Plastic-1,3,171,1.75%,9.1
https://hsbteleet.com/html/btech-leet.html,3,81,3.7%,21.6
https://hsbteleet.com/html/ai-ml.html,3,62,4.84%,6.16
https://hsbteleet.com/Electrical-Engineering-3.html,3,58,5.17%,4.97
https://hsbteleet.com/html/Textile-Design.html,3,43,6.98%,5.02
https://hsbteleet.com/Adv-Diploma-2,3,27,11.11%,7.04
https://hsbteleet.com/Chemical-2,3,26,11.54%,4.65
https://hsbteleet.com/Food,3,24,12.5%,6.5
https://hsbteleet.com/html/Hotel-Management-3,3,23,13.04%,10.48
https://hsbteleet.com/Automobile-3,3,22,13.64%,7.18
https://hsbteleet.com/Textile-Processing,3,21,14.29%,5.81
https://hsbteleet.com/Instrumentation-&-Control-3.html,3,21,14.29%,8.67
https://hsbteleet.com/Textile-Design-1,3,19,15.79%,11.53
https://hsbteleet.com/html/Adv-Diploma-1.html,3,19,15.79%,15.16
https://hsbteleet.com/Instrumentation-_-Control-4,3,15,20%,8.53
https://hsbteleet.com/Textile-Design-6,3,14,21.43%,5.64
https://hsbteleet.com/Textile-Design-2,3,14,21.43%,6.14
https://hsbteleet.com/html/Textile-Design-6.html,3,10,30%,3.7
https://hsbteleet.com/paper/QP-June-2025/220261-212862.pdf,3,8,37.5%,2.5
https://www.hsbteleet.com/Textile-Technology-4,3,6,50%,1.33
https://hsbteleet.com/paper/QP-Dec-2025/221945.pdf,3,5,60%,3.6
https://hsbteleet.com/leet-tentative-dates.html,2,145,1.38%,5.2
https://hsbteleet.com/html/leet-overview.html,2,126,1.59%,5.99
https://www.hsbteleet.com/btech-leet-premium,2,77,2.6%,2.83
https://hsbteleet.com/Instrumentation-&-Control-3,2,52,3.85%,5.37
https://hsbteleet.com/html/haryanaleet.html,2,52,3.85%,8.85
https://hsbteleet.com/Ceramic,2,47,4.26%,14
https://hsbteleet.com/Chemical-6,2,44,4.55%,6.5
https://hsbteleet.com/html/Fashion-Design.html,2,41,4.88%,5.17
https://hsbteleet.com/Fashion-Design-3,2,33,6.06%,5.76
https://hsbteleet.com/Fashion-Design,2,33,6.06%,10.61
https://hsbteleet.com/Adv-Diploma-4,2,30,6.67%,17.37
https://hsbteleet.com/Plastic,2,26,7.69%,5.85
https://www.hsbteleet.com/Medical-Laboratory-Technology-2,2,21,9.52%,4.48
https://www.hsbteleet.com/Fashion-Design,2,18,11.11%,7.44
https://hsbteleet.com/computer-pyq-5-semester,2,17,11.76%,4.29
https://hsbteleet.com/html/Electrical-Engineering-1.html,2,17,11.76%,4.71
https://hsbteleet.com/Plastic-1,2,16,12.5%,6.75
https://hsbteleet.com/Electrical-Engineering.html,2,15,13.33%,4.87
https://hsbteleet.com/civil-6.html,2,14,14.29%,3.79
https://hsbteleet.com/civil-3.html,2,13,15.38%,3.15
https://www.hsbteleet.com/ai-ml-2,2,13,15.38%,4.08
https://hsbteleet.com/civil-4,2,13,15.38%,6.62
https://hsbteleet.com/Textile-Processing-4,2,12,16.67%,3.75
https://hsbteleet.com/d-pharmacy.html,2,12,16.67%,13
https://hsbteleet.com/html/Chemical-2.html,2,11,18.18%,7.73
https://hsbteleet.com/html/Textile-Design-6,2,10,20%,4.8
"https://hsbteleet.com/paper/QP-Dec-2025/250015-220015-200015-170015-120015-060035-030015 
(G-1.pdf",2,10,20%,5.2
https://hsbteleet.com/Medical-Laboratory-Technology-1,2,10,20%,7.3
https://hsbteleet.com/ai-ml-1,2,10,20%,9.6
https://hsbteleet.com/paper/QP-June-2025/221763.pdf,2,9,22.22%,2.44
https://hsbteleet.com/Architectural-Assistantship-2.html,2,9,22.22%,5.56
https://hsbteleet.com/mech-2.html,2,8,25%,2.88
https://hsbteleet.com/paper/QP-JULY-24/ER20-21T.pdf,2,8,25%,7.5
https://hsbteleet.com/paper/QP-June-2025/220761.pdf,2,8,25%,8.38
https://hsbteleet.com/html/Medical-Laboratory-Technology-2.html,2,7,28.57%,4
https://hsbteleet.com/Food-5,2,7,28.57%,9.71
https://hsbteleet.com/html/computer-pyq-6-semester.html,2,6,33.33%,2
https://hsbteleet.com/paper/QP- Dec-2024/220343.pdf,2,6,33.33%,4.33
https://hsbteleet.com/Chemical-6.html,2,6,33.33%,5.83
https://hsbteleet.com/paper/QP-January-2024/223924.pdf,2,6,33.33%,8
https://hsbteleet.com/Library-2,2,6,33.33%,11
https://www.hsbteleet.com/Medical-Laboratory-Technology-4,2,5,40%,4.4
https://www.hsbteleet.com/d-pharmacy-2.html,2,4,50%,1.5
https://hsbteleet.com/paper/QP- Dec-2024/220152.pdf,2,4,50%,3
https://hsbteleet.com/btech-sample-paper-1,2,4,50%,13
https://hsbteleet.com/Electrical-Engineering-1,2,4,50%,18
https://hsbteleet.com/Medical-Electronics-2,2,3,66.67%,1.33
https://hsbteleet.com/Fashion-Design-6.html,2,3,66.67%,1.67
https://hsbteleet.com/paper/QP-June-2025/220964.pdf,2,3,66.67%,1.67
https://hsbteleet.com/html/Automobile-3.html,2,3,66.67%,3.67
https://hsbteleet.com/Office-Management-4.html,2,3,66.67%,5
https://hsbteleet.com/paper/QP- Dec-2024/220553.pdf,2,3,66.67%,6.67
https://hsbteleet.com/computer-1-semester,2,3,66.67%,8.67
https://hsbteleet.com/Bpharma-sample-paper-11,2,3,66.67%,15.33
https://hsbteleet.com/btech-sample-paper-7,2,3,66.67%,16
https://hsbteleet.com/btech-sample-paper-2,2,3,66.67%,18
https://hsbteleet.com/Chemical-1,2,3,66.67%,19.33
https://hsbteleet.com/html/Chemical-1.html,2,2,100%,1.5
https://hsbteleet.com/html/haryana-diploma-info.html,1,155,0.65%,7.05
https://hsbteleet.com/computer-pyq-3-semester.html,1,116,0.86%,3.59
https://www.hsbteleet.com/haryana-leet-cutoff,1,84,1.19%,7.54
https://hsbteleet.com/Fashion-Technology-1,1,53,1.89%,11.28
https://hsbteleet.com/leet-syllabus,1,50,2%,5.68
https://hsbteleet.com/html/Library,1,45,2.22%,4.82
https://hsbteleet.com/civil-1,1,42,2.38%,12.69
https://www.hsbteleet.com/Library-4,1,32,3.12%,7.91
https://hsbteleet.com/html/Instrumentation-&-Control.html,1,31,3.23%,7.68
https://www.hsbteleet.com/ece,1,30,3.33%,6.77
https://www.hsbteleet.com/dbm-4-retail,1,29,3.45%,10.69
https://hsbteleet.com/Fashion-Technology-6,1,29,3.45%,19.93
https://www.hsbteleet.com/ece-6,1,27,3.7%,6.74
https://hsbteleet.com/html/Medical-Electronics-5.html,1,26,3.85%,5
https://hsbteleet.com/paper/QP-Dec-2025/221643.pdf,1,26,3.85%,7.85
https://hsbteleet.com/paper/QP-July-2023/223923.pdf,1,25,4%,6.76
https://www.hsbteleet.com/B-Pharmacy-leet,1,24,4.17%,7.04
https://www.hsbteleet.com/paper/QP-Dec-2025/221862-212861.pdf,1,24,4.17%,7.46
https://hsbteleet.com/Architectural-Assistantship-4,1,23,4.35%,7.87
https://hsbteleet.com/paper/QP-June-2025/220743.pdf,1,22,4.55%,7.14
https://www.hsbteleet.com/Electrical-Engineering-3.html,1,21,4.76%,6.57
https://hsbteleet.com/leet-syllabus.html,1,21,4.76%,6.62
https://hsbteleet.com/civil-3,1,20,5%,4.45
https://hsbteleet.com/Electrical-Engineering-5,1,20,5%,5.15
https://hsbteleet.com/paper/QP-June-2025/221762.pdf,1,20,5%,8.65
https://hsbteleet.com/Office-Management.html,1,19,5.26%,4.79
https://hsbteleet.com/b-pharmacy-leet-sample-paper,1,18,5.56%,8.06
https://hsbteleet.com/Textile-Technology-2,1,18,5.56%,9.78
https://hsbteleet.com/Automation-4,1,18,5.56%,12.56
https://hsbteleet.com/dbm-4-hr,1,18,5.56%,12.56
https://hsbteleet.com/mech-5,1,17,5.88%,8.65
https://www.hsbteleet.com/Textile-Technology-3,1,17,5.88%,9.29
https://hsbteleet.com/Fashion-Design-5,1,16,6.25%,3.62
https://hsbteleet.com/paper/QP-Dec-2025/223042.pdf,1,16,6.25%,7.56
https://hsbteleet.com/Library-4,1,16,6.25%,10.69
https://hsbteleet.com/Food-2,1,16,6.25%,13.38
https://hsbteleet.com/Automation-1,1,16,6.25%,22.31
https://hsbteleet.com/html/ece-4,1,15,6.67%,3.93
https://www.hsbteleet.com/Chemical-4,1,15,6.67%,4.07
https://hsbteleet.com/Medical-Electronics,1,15,6.67%,4.27
https://hsbteleet.com/html/computer-1-semester.html,1,15,6.67%,5.2
https://hsbteleet.com/Office-Management-1.html,1,15,6.67%,6.13
https://www.hsbteleet.com/Electrical-Engineering-4,1,15,6.67%,6.73
https://hsbteleet.com/btech-leet-premium,1,15,6.67%,8.47
https://hsbteleet.com/html/computer-pyq-3-semester.html,1,14,7.14%,5
https://hsbteleet.com/paper/QP-Dec-2025/226751-H.pdf,1,14,7.14%,6.5
https://hsbteleet.com/paper/QP-Dec-2025/220965B.pdf,1,13,7.69%,6
https://hsbteleet.com/paper/QP-Dec-2025/ER20-26T.pdf,1,13,7.69%,7.62
https://www.hsbteleet.com/paper/QP-June-2025/ER20-25T.pdf,1,12,8.33%,3.08
https://hsbteleet.com/ece-3,1,12,8.33%,4.08
https://hsbteleet.com/paper/QP-Dec-2025/220025.pdf,1,12,8.33%,5.83
https://hsbteleet.com/Food-6,1,12,8.33%,11.17
https://hsbteleet.com/Ceramic-1.html,1,12,8.33%,52.5
https://www.hsbteleet.com/b-pharmacy-leet-sample-paper,1,11,9.09%,1.18
https://www.hsbteleet.com/Medical-Electronics,1,11,9.09%,3.45
https://hsbteleet.com/paper/QP-January-2024/220133.pdf,1,11,9.09%,6.18
https://hsbteleet.com/Agriculture-4,1,11,9.09%,12.36
https://hsbteleet.com/paper/QP-Dec-2025/221942.pdf,1,10,10%,2.9
https://hsbteleet.com/html/Hotel-Management-2.html,1,10,10%,6.1
https://www.hsbteleet.com/Agriculture-1,1,10,10%,10.1
https://hsbteleet.com/Chemical-4,1,10,10%,11.2
https://www.hsbteleet.com/html/civil-4.html,1,9,11.11%,2.44
https://hsbteleet.com/paper/QP- Dec-2024/221643.pdf,1,9,11.11%,3
https://hsbteleet.com/html/Automobile-2.html,1,9,11.11%,3.22
https://hsbteleet.com/paper/QP-Dec-2025/221651.pdf,1,9,11.11%,5.78
https://hsbteleet.com/Instrumentation-&-Control-1,1,9,11.11%,6
https://hsbteleet.com/Textile-Technology-6,1,9,11.11%,6.33
https://hsbteleet.com/html/Textile-Design-5.html,1,9,11.11%,7
https://hsbteleet.com/paper/QP-June-2025/221154-A.pdf,1,9,11.11%,11.33
https://hsbteleet.com/Office-Management-5,1,9,11.11%,14.22
https://www.hsbteleet.com/Textile-Processing-5,1,9,11.11%,18.22
https://hsbteleet.com/paper/QP-Dec-2025/220725.pdf,1,8,12.5%,2.62
https://www.hsbteleet.com/ai-ml,1,8,12.5%,2.62
https://hsbteleet.com/html/Textile-Design-4.html,1,8,12.5%,3.12
https://www.hsbteleet.com/paper/QP- Dec-2024/ER20-25T.pdf,1,8,12.5%,5.62
https://hsbteleet.com/Architectural-Assistantship-3,1,8,12.5%,13.12
https://hsbteleet.com/paper/QP-June-2025/220962.pdf,1,7,14.29%,3.71
https://hsbteleet.com/FAA-2,1,7,14.29%,3.86
https://www.hsbteleet.com/paper/QP-June-2025/220041.pdf,1,7,14.29%,5.29
https://hsbteleet.com/btech-sample-paper-10,1,7,14.29%,5.57
https://hsbteleet.com/Agriculture-5,1,7,14.29%,6.43
https://hsbteleet.com/paper/QP-JULY-24/222242.pdf,1,7,14.29%,8.29
https://hsbteleet.com/paper/QP-July-2023/ER20-23T.pdf,1,7,14.29%,8.71
https://hsbteleet.com/Automation-6.html,1,7,14.29%,9.57
https://hsbteleet.com/html/ai-ml-6.html,1,7,14.29%,10.43
https://hsbteleet.com/paper/QP-Dec-2025/222563A.pdf,1,6,16.67%,1.67
https://hsbteleet.com/paper/QP-July-2023/220924.pdf,1,6,16.67%,2
https://hsbteleet.com/paper/QP- Dec-2024/ER20-22T.pdf,1,6,16.67%,3.83
https://www.hsbteleet.com/paper/QP-June-2025/221643.pdf,1,6,16.67%,5.33
https://hsbteleet.com/Instrumentation-&-Control-5,1,6,16.67%,5.67
https://hsbteleet.com/paper/QP-Dec-2025/221542.pdf,1,6,16.67%,8.67
https://hsbteleet.com/html/Fashion-Design-2.html,1,6,16.67%,10.33
https://www.hsbteleet.com/FAA-5,1,6,16.67%,27.33
https://hsbteleet.com/paper/QP-Dec-2025/220963.pdf,1,5,20%,2.4
https://hsbteleet.com/paper/QP-JULY-24/221944.pdf,1,5,20%,2.8
https://hsbteleet.com/paper/QP- Dec-2024/220725.pdf,1,5,20%,3.4
https://hsbteleet.com/Medical-Electronics-5,1,5,20%,4.2
https://hsbteleet.com/paper/QP-Dec-2025/220261-212862.pdf,1,5,20%,4.6
https://hsbteleet.com/html/Automation-4.html,1,5,20%,5.6
https://hsbteleet.com/paper/QP-June-2025/ER20-26T.pdf,1,5,20%,6
https://hsbteleet.com/paper/QP-Dec-2025/224154B.pdf,1,5,20%,6.6
https://hsbteleet.com/paper/QP-JULY-24/ER20-25T.pdf,1,5,20%,6.8
https://www.hsbteleet.com/computer-pyq-5-semester.html,1,5,20%,6.8
https://hsbteleet.com/paper/QP-JULY-24/221132.pdf,1,5,20%,7
https://hsbteleet.com/paper/QP-Dec-2025/220742.pdf,1,5,20%,7.8
https://hsbteleet.com/html/Textile-Technology-2.html,1,5,20%,8.4
https://hsbteleet.com/Automobile-3.html,1,5,20%,8.6
https://www.hsbteleet.com/FAA-2,1,5,20%,15
https://hsbteleet.com/paper/QP-Dec-2025/ER20-12T.pdf,1,4,25%,3.75
https://hsbteleet.com/paper/QP- Dec-2024/ER20-11T.pdf,1,4,25%,5
https://hsbteleet.com/paper/QP-Dec-2025/221944.pdf,1,4,25%,6.25
https://www.hsbteleet.com/mech-3,1,4,25%,6.25
https://hsbteleet.com/paper/QP-JULY-24/221635.pdf,1,4,25%,7.5
https://hsbteleet.com/computer-pyq-6-semester.html,1,4,25%,7.75
https://hsbteleet.com/Automobile-1,1,4,25%,9.75
https://www.hsbteleet.com/Textile-Design-2,1,4,25%,10.5
https://hsbteleet.com/paper/QP JULY 24/QP JULY 24/222244.pdf,1,4,25%,11
https://hsbteleet.com/Automobile-6.html,1,3,33.33%,2
https://hsbteleet.com/paper/QP-June-2025/220963.pdf,1,3,33.33%,2
https://www.hsbteleet.com/paper/QP-June-2025/220746.pdf,1,3,33.33%,2
https://www.hsbteleet.com/Ceramic,1,3,33.33%,2.33
https://www.hsbteleet.com/paper/QP-Dec-2025/220945.pdf,1,3,33.33%,2.67
https://hsbteleet.com/paper/QP-Dec-2025/220964.pdf,1,3,33.33%,3.33
https://hsbteleet.com/paper/QP-Dec-2025/221763.pdf,1,3,33.33%,3.33
https://www.hsbteleet.com/Instrumentation-_-Control-4,1,3,33.33%,3.33
https://hsbteleet.com/paper/QP- Dec-2024/220931.pdf,1,3,33.33%,4.33
https://www.hsbteleet.com/Textile-Processing,1,3,33.33%,4.33
https://www.hsbteleet.com/paper/QP-June-2025/ER20-26T.pdf,1,3,33.33%,4.67
https://hsbteleet.com/paper/QP-June-2025/220965B.pdf,1,3,33.33%,5.67
https://hsbteleet.com/paper/QP-Dec-2025/220026-212826.pdf,1,3,33.33%,6.67
https://hsbteleet.com/paper/QP-Dec-2025/222255B.pdf,1,3,33.33%,7.67
https://hsbteleet.com/mech-1,1,3,33.33%,8.33
https://hsbteleet.com/paper/QP-July-2023/222721.pdf,1,3,33.33%,8.67
https://hsbteleet.com/Fashion-Technology-2,1,3,33.33%,13
https://hsbteleet.com/paper/QP-January-2024/223131.pdf,1,3,33.33%,13
https://hsbteleet.com/paper/QP-June-2025/222563A.pdf,1,3,33.33%,24.67
https://www.hsbteleet.com/paper/QP-JULY-24/220943.pdf,1,2,50%,1
https://www.hsbteleet.com/paper/QP-July-2023/220022.pdf,1,2,50%,1
https://hsbteleet.com/paper/QP-Dec-2025/220962.pdf,1,2,50%,1.5
https://hsbteleet.com/paper/QP-July-2023/220327.pdf,1,2,50%,4
https://hsbteleet.com/paper/QP- Dec-2024/221042-212842.pdf,1,2,50%,4.5
https://hsbteleet.com/paper/QP-Dec-2025/222732.pdf,1,2,50%,5.5
https://hsbteleet.com/Textile-Technology-3,1,2,50%,6
https://www.hsbteleet.com/paper/QP-Dec-2025/223133.pdf,1,2,50%,6
https://www.hsbteleet.com/paper/QP-January-2024/220422.pdf,1,2,50%,6
https://hsbteleet.com/paper/QP-January-2024/220327.pdf,1,2,50%,6.5
https://hsbteleet.com/Architectural-Assistantship-5,1,2,50%,7.5
https://hsbteleet.com/mech-4,1,2,50%,7.5
https://hsbteleet.com/dbm-4-mr,1,2,50%,11.5
https://hsbteleet.com/Ceramic-2,1,2,50%,15
https://www.hsbteleet.com/Automation-5,1,2,50%,18
https://hsbteleet.com/Library-3,1,2,50%,24
"https://hsbteleet.com/paper/Question Papers for January 2024 Exam/Question 
Paper January 2024 Exam/222521.pdf",1,2,50%,42
https://hsbteleet.com/paper/QP- Dec-2024/220012-210012.pdf,1,1,100%,1
https://hsbteleet.com/paper/QP- Dec-2024/220735.pdf,1,1,100%,1
https://hsbteleet.com/paper/QP-July-2023/221024.pdf,1,1,100%,1
https://hsbteleet.com/paper/QP-June-2025/222564A.pdf,1,1,100%,1
https://hsbteleet.com/paper/QP-Dec-2025/221064C.pdf,1,1,100%,2
